pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1	Een groepje kinderen speelt in een tuin en een oude man staat op de achtergrond	Een groep jongens in een tuin is aan het spelen en een man staat op de achtergrond	NEUTRAL	4.5	A_neutral_B	B_neutral_A	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	FLICKR	FLICKR	TRAIN
2	Een groep kinderen speelt in het huis en er staat geen man op de achtergrond	Een groepje kinderen speelt in een tuin en een oude man staat op de achtergrond	NEUTRAL	3.2	A_contradicts_B	B_neutral_A	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
3	De jonge jongens spelen buiten en de man lacht in de buurt	De kinderen spelen buiten in de buurt van een man met een glimlach	ENTAILMENT	4.7	A_entails_B	B_entails_A	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	FLICKR	FLICKR	TRAIN
4	De jonge jongens spelen buiten en de man lacht in de buurt	Er is geen jongen die buiten speelt en er is geen man die lacht	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	FLICKR	FLICKR	TRIAL
5	De kinderen spelen buiten in de buurt van een man met een glimlach	Een groepje kinderen speelt in een tuin en een oude man staat op de achtergrond	NEUTRAL	3.4	A_neutral_B	B_neutral_A	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
6	Er is geen jongen die buiten speelt en er is geen man die lacht	Een groepje kinderen speelt in een tuin en een oude man staat op de achtergrond	NEUTRAL	3.3	A_neutral_B	B_neutral_A	There is no boy playing outdoors and there is no man smiling	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TEST
7	Een groep jongens in een tuin is aan het spelen en een man staat op de achtergrond	De jonge jongens spelen buiten en de man lacht in de buurt	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	FLICKR	FLICKR	TEST
8	Een groep kinderen speelt in het huis en er staat geen man op de achtergrond	De jonge jongens spelen buiten en de man lacht in de buurt	NEUTRAL	3	A_neutral_B	B_contradicts_A	A group of children is playing in the house and there is no man standing in the background	The young boys are playing outdoors and the man is smiling nearby	FLICKR	FLICKR	TEST
9	De jonge jongens spelen buiten en de man lacht in de buurt	Een groepje kinderen speelt in een tuin en een oude man staat op de achtergrond	NEUTRAL	3.7	A_neutral_B	B_neutral_A	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	FLICKR	FLICKR	TRAIN
10	Een bruine hond valt een ander dier aan voor de lange man in een broek	Een bruine hond valt een ander dier aan voor de man in een broek	ENTAILMENT	4.9	A_entails_B	B_neutral_A	A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	FLICKR	FLICKR	TEST
